0;{'location': {'lat': 2.3281148, 'lng': 102.208415}, 'viewport': {'northeast': {'lat': 2.329461979892722, 'lng': 102.2097841298927}, 'southwest': {'lat': 2.326762320107278, 'lng': 102.2070844701073}}};https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;0c6a80189cddbdd5472d56d281f120f3295e0b6c;Tai Rumbia Motor;"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116891294367376266772"">muhammad kamarudin</a>'], 'photo_reference': 'CmRaAAAA813GCNuVK30b5ny171YKmpe_aOzAaPssFQzqZ8nvL2EM6HOrvo2DunXnmEhSTcse-kynI6WnccKeczwlOpixrEdZMFVtLpCpqebpGqUbhRtgi9Blj-fkLeQBLFU2uSXoEhAJZN5UNEawKz4o1-dUd6adGhTAUR9oBu1ECKNsZAsM3njC9zLXeQ', 'width': 3120}]";ChIJ7aAj95sCzjERQphWCovrzIM;{'compound_code': '86H5+69 Alor Gajah, Malacca', 'global_code': '6PJ486H5+69'};3.9;ChIJ7aAj95sCzjERQphWCovrzIM;GOOGLE;['point_of_interest', 'store', 'establishment'];10;No. 9413, Pekan Rumbia, 78000, Alor Gajah, Melaka;
1;{'location': {'lat': 2.3366457, 'lng': 102.2092458}, 'viewport': {'northeast': {'lat': 2.337994329892722, 'lng': 102.2106608798927}, 'southwest': {'lat': 2.335294670107278, 'lng': 102.2079612201073}}};https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;a49b7f70ae3157ed259d234d65476a41a8d0bfb2;Tai Pelangi Motor Trading;"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108542450245995393295"">Md Jais Md Jani</a>'], 'photo_reference': 'CmRaAAAA_ZD6BRn0qkbLvNeToKhv77-Bg9H1iDnI7t6gyUsUuJICKII1NhcqT6Dv4_4EqTPkjveKWX_3z5bLKOIHH-dGd0AASpojc6jUyHu0N1PotDc2edF5_dP93YzmhV4ZSA8iEhDCTc5-9-G_IFGtycbME-g9GhSaQAXNBJGFjQi0xk8fziqTfJP7Mw', 'width': 1080}]";ChIJBwDQ-Yf80TERpOfzkVy54d8;{'compound_code': '86P5+MM Alor Gajah, Malacca', 'global_code': '6PJ486P5+MM'};4.2;ChIJBwDQ-Yf80TERpOfzkVy54d8;GOOGLE;['point_of_interest', 'store', 'establishment'];41;Alor Gajah;{'open_now': True}
0;{'location': {'lat': 2.3525324, 'lng': 102.1093324}, 'viewport': {'northeast': {'lat': 2.353871179892722, 'lng': 102.1106375298927}, 'southwest': {'lat': 2.351171520107278, 'lng': 102.1079378701073}}};https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;e9f30fdf395c1617717fe2fd650a9f48d6110e65;YK Yau Motors Sdn Bhd(HQ);{'open_now': True};"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111538530473196212636"">Solo Ride</a>'], 'photo_reference': 'CmRaAAAA-VhQ7NhyToWPnYPJGmP65RGRxPdZHGw1j0otXH-nYCIOXIp5rBLk498xpswzwzI31Q9Z2WYjuxyn2XUwYgmJWmfBOIIFsyyI8fufYZ80aHgZgTmR9j7K8QYe5-59mrp3EhBOIJEpdCy6DNH9CAoth3VUGhSD5BinvZM-nQKeShnwg9yLAv92yg', 'width': 2240}]";ChIJmYP9fRn_0TERxHiOkaJk2Yk;{'compound_code': '9435+2P Masjid Tanah, Malacca', 'global_code': '6PJ49435+2P'};3.8;ChIJmYP9fRn_0TERxHiOkaJk2Yk;GOOGLE;['insurance_agency', 'car_repair', 'point_of_interest', 'store', 'establishment'];41;MT 621, Main Road, Masjid Tanah
1;{'location': {'lat': 2.349081, 'lng': 102.111899}, 'viewport': {'northeast': {'lat': 2.350429479892723, 'lng': 102.1132735298927}, 'southwest': {'lat': 2.347729820107278, 'lng': 102.1105738701073}}};https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;3f3c557313f954667436a5257b218cfe6b34ba62;NGM MOTOR;{'open_now': True};"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113540627337165971969"">budi jery jusek@ismail</a>'], 'photo_reference': 'CmRaAAAAqVUdpwEPLleBXD4LhoXGJvpgWMepbLtjK5eIdryiuQz7O02JHnWSckIHkaHBppWPEgubTT83Yc7pzIDO9NLn-yvXolMKikW2agVtT3baNKc79VPUFUkk5ADVHU9Z9jhDEhB0YBOhS5dZD03uU3R5baumGhQXNdD3BH6k_0dFr45v7-FIWIEA9g', 'width': 1520}]";ChIJ9SV95Rr_0TER75tgvtGtpzk;{'compound_code': '84X6+JQ Masjid Tanah, Malacca', 'global_code': '6PJ484X6+JQ'};4.7;ChIJ9SV95Rr_0TER75tgvtGtpzk;GOOGLE;['point_of_interest', 'store', 'establishment'];3;SU 993 Pusat Perniagaan Bandar Baru, Masjid Tanah
2;{'location': {'lat': 2.3501497, 'lng': 102.1020395}, 'viewport': {'northeast': {'lat': 2.351463979892722, 'lng': 102.1033891298927}, 'southwest': {'lat': 2.348764320107278, 'lng': 102.1006894701073}}};https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;875d7b9916ace95fdc766f61ab3795cfc8bfe3bd;motogpf1store;{'open_now': True};"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113673762991461665151"">Idraki Fadzil</a>'], 'photo_reference': 'CmRaAAAApy2x8RpdYEnu3nU6DXQ2pyeHTF2TFo_Afub8GCz6O2LzKuj8WepO25De6jmZt6NHDHfct76K8eOu_uXFYPx7dxejEHunDtWLM_M0VxHXmCqTqSqqgv4wMuk9Txzcq0hSEhCjcz4313_CjyxGh28Ue643GhTVqmYMSse1bL4HVG6SPyXncGcl3g', 'width': 3120}]";ChIJDxDKWRb_0TERq0shLZkdkRI;{'compound_code': '9422+3R Masjid Tanah, Malacca', 'global_code': '6PJ49422+3R'};4.4;ChIJDxDKWRb_0TERq0shLZkdkRI;GOOGLE;['car_repair', 'point_of_interest', 'store', 'establishment'];11;MT 13, Jalan Tbi Fasa 2/1, Taman Bukit Indah, Masjid Tanah
3;{'location': {'lat': 2.351444, 'lng': 102.107964}, 'viewport': {'northeast': {'lat': 2.352780829892722, 'lng': 102.1092965798927}, 'southwest': {'lat': 2.350081170107277, 'lng': 102.1065969201073}}};https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;72afc96f55e9ed42459fd576aa78b6716b2c9b72;Boon Hing Motor;;;ChIJTXgUlhn_0TERrjxMLp_7y7c;{'compound_code': '9425+H5 Masjid Tanah, Malacca', 'global_code': '6PJ49425+H5'};0.0;ChIJTXgUlhn_0TERrjxMLp_7y7c;GOOGLE;['point_of_interest', 'store', 'establishment'];0;No. SU 61, MT 2837, Kawasan Industri Ringan, Melaka, Masjid Tanah
4;{'location': {'lat': 2.352279, 'lng': 102.1089262}, 'viewport': {'northeast': {'lat': 2.353593829892723, 'lng': 102.1103032298927}, 'southwest': {'lat': 2.350894170107278, 'lng': 102.1076035701073}}};https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png;dff379e8fadcc5ff23da0f4f59dee71c5bbeedf2;祥摩托;;;ChIJkQ_4gRn_0TERrjYvkAmZPE4;{'compound_code': '9425+WH Masjid Tanah, Malacca', 'global_code': '6PJ49425+WH'};0.0;ChIJkQ_4gRn_0TERrjYvkAmZPE4;GOOGLE;['car_repair', 'point_of_interest', 'establishment'];0;Masjid Tanah
5;{'location': {'lat': 2.3507476, 'lng': 102.1132087}, 'viewport': {'northeast': {'lat': 2.352055579892722, 'lng': 102.1145494298927}, 'southwest': {'lat': 2.349355920107278, 'lng': 102.1118497701073}}};https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png;0d92dfe6d3a86f3ec86eb1ab579d436bbfdbdda6;long wee;;;ChIJIQeywh7_0TERWvDVbwh9X78;{'compound_code': '9427+77 Masjid Tanah, Malacca', 'global_code': '6PJ49427+77'};0.0;ChIJIQeywh7_0TERWvDVbwh9X78;GOOGLE;['car_repair', 'point_of_interest', 'establishment'];0;Kampung Tengah Masjid Tanah, Masjid Tanah
6;{'location': {'lat': 2.35088, 'lng': 102.121}, 'viewport': {'northeast': {'lat': 2.352195229892722, 'lng': 102.1223452798927}, 'southwest': {'lat': 2.349495570107277, 'lng': 102.1196456201073}}};https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png;40a0dbaecb3689ea06c2574c3bfcc9c4ecb5f173;Wee Semg Motors;;;ChIJcylCDuH-0TERVUvoZI3i3Es;{'compound_code': '942C+99 Masjid Tanah, Malacca', 'global_code': '6PJ4942C+99'};0.0;ChIJcylCDuH-0TERVUvoZI3i3Es;GOOGLE;['car_repair', 'point_of_interest', 'store', 'establishment'];0;Mt633, Jalan Masjid Tanah, Masjid Tanah, 78300, Masjid Tanah, Melaka
7;{'location': {'lat': 2.3702677, 'lng': 102.0869464}, 'viewport': {'northeast': {'lat': 2.371639779892723, 'lng': 102.0882798298927}, 'southwest': {'lat': 2.368940120107278, 'lng': 102.0855801701073}}};https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png;1f5fff0cfa4e1f3b26a1017e41c2e8400b58b971;Membaiki Motosikal Onn Boon;{'open_now': False};"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100576352850574008648"">Chan Karen</a>'], 'photo_reference': 'CmRaAAAAao3n2hK_08wURA_vJHsPf2NeFgbVNSW3XyhBnPHHKFTkoUj0sJpMwkC6Lx_d33NwTnjjmIWF-SXwDCASzqgbYvqNnVNKQtHTzdHDcP5SAD_jWWfsnOq3Aw73Lk71hmyTEhBFwwBdkVOAAbDtbYr6jstBGhTx-QXKTuoOPuzjzoAf5Lm92CRQ7g', 'width': 4160}]";ChIJOS-JT5z_0TER6wykqCIxi_k;{'compound_code': '93CP+4Q Masjid Tanah, Malacca', 'global_code': '6PJ493CP+4Q'};0.0;ChIJOS-JT5z_0TER6wykqCIxi_k;GOOGLE;['car_repair', 'point_of_interest', 'establishment'];0;Masjid Tanah, Taman Seri Jeram, Jalan Sri Jeram 1
